,Username,Description,Location,Followers,Following,TotalTweets,RetweetCount,DateTime,FullTweetText,Hashtags
28,bunnies_bot,,,1099,1,112179,1,2018-02-18 01:13:46,RT @vikingbunnies: Meet Captain Fuzzy of The Viking Bunnies! Follow their crazy adventures @vikingbunnies and play their awesome #mobile #g…,['mobile']
29,davidpremier,Sports Content Producer. Real Madrid Fan.,,81,506,46087,0,2018-09-01 01:38:36,PUBG MOBILE announces Brazilian female tournament Valkirias https://t.co/VzsvFvJjb4 #BattleRoyale #Games #Markets #Mobile #PUBG https://t.co/6HBfJENuWP,"['BattleRoyale', 'Games', 'Markets', 'Mobile', 'PUBG']"
30,Ebox_Support,https://t.co/1VWSn493r3 Android News || Gaming News || Tech News || Reviews || Movies/TV || Follow us for all the latest gossip||,Global,34584,8591,111614,0,2014-07-30 21:43:26,Redmi Note 10 Pro: new Xiaomi smartphone disassembled in official video! - #Android #Mobile #smartphone #Smartphones #Socialnetworks #Xiaomi - https://t.co/WXqf7XRPSa https://t.co/uodjbw0ZKa,"['Android', 'Mobile', 'smartphone', 'Smartphones', 'Socialnetworks', 'Xiaomi']"
31,LisaChassin,Insights Manager - Connected Women / Mobile For Development at GSMA @GSMAm4d,,293,293,84,0,2011-09-08 08:48:48,"#Mobile is transforming the lives of women across Africa &amp; Asia, particularly during the pandemic. Today on #IWD2021 I’m excited to share a trailer for a @GSMAm4d series where women share their stories through their mobiles. Watch this space!  #ukaid
https://t.co/9PwfVVb4In","['Mobile', 'IWD2021', 'ukaid']"
32,DanielTuxStm,,,27,271,2019,3,2017-11-16 00:19:21,RT @dos1: Here's Plasma Desktop on  PureOS Byzantium running on the Librem 5 phone docked to an external display - just because :D @kdecomm…,[]
33,MangiesShop,We have what you deserve!. We have wide range of high quality electronics📱 that meet your need. #smartwatches #smartwatch #xiaomi #onlineshop #samsung 🤩👍💡📸,Germany,1944,2328,4979,0,2019-10-29 10:34:51,"#smartphone, #pro, #android, #samsung, #apple, #tech, #phone, #xiaomi, #mobile, #nokia, #oneplus, #s, #gadget, #huawai, #ios, #realme, #gadgets, #technews
Show now 👉 👉https://t.co/r1Gz8RoJGW or Retweet😍 https://t.co/wPmkS2zmfq","['smartphone', 'pro', 'android', 'samsung', 'apple', 'tech', 'phone', 'xiaomi', 'mobile', 'nokia', 'oneplus', 's', 'gadget', 'huawai', 'ios', 'realme', 'gadgets', 'technews']"
34,AppFollowIO,"App management platform for timely decisions and actions.
Automate your #ASO, #ratings, #reviews and product insights aggregation and analysis.","Helsinki, Suomi",2508,1423,2688,0,2015-03-19 09:37:06,"We are proud to announce our ""Organic #UserAcquisition Growth for Mobile"" course in collaboration with @moengage 👏 

We will share the strategies and tactics you should follow to improve your #mobile app's #organic user acquisition.

Register here 👇
https://t.co/tHMilHe0N1","['UserAcquisition', 'mobile', 'organic']"
35,MobileNerve,,,333,80,1086,0,2020-06-17 09:38:47,"#Realme has confirmed the launch of the #Realme8series in #India soon

For more tech updates
Follow  @MobileNerve

#mobilephotography #mobile #smartphone #smartphonephotography #technology #pubgmobile #mobilelegend #fortnitemobile #mobilegame #samsungphotography #mobilenerve https://t.co/36FACj5X6O","['Realme', 'Realme8series', 'India', 'mobilephotography', 'mobile', 'smartphone', 'smartphonephotography', 'technology', 'pubgmobile', 'mobilelegend', 'fortnitemobile', 'mobilegame', 'samsungphotography', 'mobilenerve']"
36,MobileBot01,"A Twitter bot, which retweet tweets with hashtags #mobile, #iOS, #android in their content. Created by @noorulain_ali.","Dubai, United Arab Emirates",243,42,32683,2,2020-06-07 05:50:29,"RT @LegendLakeNet: Legend Lake Technologies

- Websites from $ 475/yr
- Secure cloud hosting
- Custom desktop apps
- Dynamic media bots
- C…",[]
37,LegendLakeNet,Legend Lake Technologies | Software development and cloud hosting | LegendLakeTech@gmail.com,"Legend Lake, Wisconsin",9,43,10787,2,2020-09-15 07:01:27,"Legend Lake Technologies

- Websites from $ 475/yr
- Secure cloud hosting
- Custom desktop apps
- Dynamic media bots
- Complex databases
- Mobile apps

 #Mobile #Web #Desktop #Server #Code #Cloud #MondayMotivation #MondayThoughts #WorkingFromHome https://t.co/Ckx7wLZsz6","['Mobile', 'Web', 'Desktop', 'Server', 'Code', 'Cloud', 'MondayMotivation', 'MondayThoughts', 'WorkingFromHome']"
38,buy_ae,,,2,42,35,0,2014-09-30 15:32:38,"Apple Lightning to USB cable (1 m)
#ShoppingOnline #Mobile #watches #Perfume #Dubai #shoppingmall #dubaimall #AirPods #buynow #buy #buying #Android #Samsung #Huawei #motorolarazr5G #Nokia #DubaishoppingFestival #UAE #buyae #Sharjah
https://t.co/CDpuHsvF9R https://t.co/qw0QFIQ2QT","['ShoppingOnline', 'Mobile', 'watches', 'Perfume', 'Dubai', 'shoppingmall', 'dubaimall', 'AirPods', 'buynow', 'buy', 'buying', 'Android', 'Samsung', 'Huawei', 'motorolarazr5G', 'Nokia', 'DubaishoppingFestival', 'UAE', 'buyae', 'Sharjah']"
39,mobIndAwards,"Running for more than a decade, the Mobile Industry Awards represent the gold standard of excellence in the industry.","London, England",570,1191,478,0,2016-01-19 19:19:42,"The mobile accessories market is worth billions of dollars every year, playing a crucial role in augmenting the devices we use every day. We're on the hunt for the best accessory manufacturer out there, so enter #MIA2021 now! #mobile #accessories https://t.co/wcfami4TFW","['MIA2021', 'mobile', 'accessories']"
40,paymentscm,"The go-to market intelligence hub for the global payments ecosystem. News, analysis, research and consulting for the #payments #fintech & #banking industries.","London, England",3596,525,1149,0,2013-10-15 16:32:26,"@eftposAust has released details for a national #QRcode #payments network rollout, which aims to provide #Australian consumers and merchants with a data-rich payments experience online, on #mobile or at #POS https://t.co/BhmujZonPD #payments #cards #mobile #banking #fintech https://t.co/8rqvyydmCE","['QRcode', 'payments', 'Australian', 'mobile', 'POS', 'payments', 'cards', 'mobile', 'banking', 'fintech']"
41,shopMatrixNet,"Best prices, hot deals & cutting edge reviews follow shopMatrixNet product discount offers listed within SHOP MATRIX NETWORK world of bumper bargains & offers",United Kingdom,601,1053,22549,0,2015-06-02 18:51:36,"#Blake Creative Colour C6 114 x 162 mm 120 gsm Peel &amp; Seal Wallet #Envelopes (106) Pillar Box Red - Pack of 500

More: https://t.co/qD3ff2eZvs

#Mobile #SaverDeal https://t.co/8PsGR6Doo3","['Blake', 'Envelopes', 'Mobile', 'SaverDeal']"
42,MobileNerve,,,333,80,1086,0,2020-06-17 09:38:47,"#OppoFindX3 series is all set to debut in China on March 11

For more tech updates
Follow  @MobileNerve

#oppo #mobilephotography #mobile #smartphone #smartphonephotography #technology #pubgmobile #mobilelegend #fortnitemobile #mobilegame #samsungphotography #mobilenerve https://t.co/uHvb7L7kLh","['OppoFindX3', 'oppo', 'mobilephotography', 'mobile', 'smartphone', 'smartphonephotography', 'technology', 'pubgmobile', 'mobilelegend', 'fortnitemobile', 'mobilegame', 'samsungphotography', 'mobilenerve']"
43,salonikor,"Believes in women empowerment, the power of technology and a beautiful world. Senior Market Engagement Manager, M4D at GSMA. Views are personal.",London,375,447,680,0,2010-01-25 22:45:08,"Today on #InternationalWomensDay, I #ChooseToChallenge the social norms that deepen the digital divide between genders in low- and middle-income countries, and invite others in the #mobile industry to prioritise gender equality too! #IWD2021 @GSMAm4d https://t.co/s6rXnJyY96","['InternationalWomensDay', 'ChooseToChallenge', 'mobile', 'IWD2021']"
44,KosterGB,"Koster Aquatecnic UK based waterproofing experts, part of the international Koster Group. http//:http://t.co/6DeELzslJA",Dumfries Scotland,661,610,553,0,2012-05-17 12:34:02,"Our Koster Waterproofing app is also available on Apple devices! Click to download from the app store, it's the easiest way to access all the information you need on our product range!
#android #app #mobile #construction #industrial #waterproofing
https://t.co/K8koOXy9Lk","['android', 'app', 'mobile', 'construction', 'industrial', 'waterproofing']"
45,buy_ae,,,2,42,35,0,2014-09-30 15:32:38,"Apple Pencil mk0c2am a For iPad Pro White
#ShoppingOnline #Mobile #watches #Perfume #Dubai #shoppingmall #dubaimall #AirPods #buynow #buy #buying #Android #Samsung #Huawei #motorolarazr5G #Nokia #DubaishoppingFestival #UAE #buyae #Sharjah
https://t.co/fpQAzfXXtZ https://t.co/gwu306FcUH","['ShoppingOnline', 'Mobile', 'watches', 'Perfume', 'Dubai', 'shoppingmall', 'dubaimall', 'AirPods', 'buynow', 'buy', 'buying', 'Android', 'Samsung', 'Huawei', 'motorolarazr5G', 'Nokia', 'DubaishoppingFestival', 'UAE', 'buyae', 'Sharjah']"
46,SANNICKS23,UI/UX Designer,India,816,82,34,0,2010-04-16 19:53:34,"New App Design for Dining Experience

#uidesign #uxdesign #mobileapp #ui #ux #clean #new #mobile #modern #minimalist #minimal #iOS #appdesign
#app https://t.co/aTD1DQQnSM","['uidesign', 'uxdesign', 'mobileapp', 'ui', 'ux', 'clean', 'new', 'mobile', 'modern', 'minimalist', 'minimal', 'iOS', 'appdesign', 'app']"
47,lopezmarianar,Advocacy. Research. Menstruation. We should all be feminists.,"London, England",363,613,668,0,2010-08-04 20:22:06,"Happy #InternationalWomensDay! from the @GSMAm4d Connected Women team. To celebrate, we released a trailer of a new series of stories where women from around the world tell us how #mobile technology is making a difference to their lives. Check it out: https://t.co/q4ZA4LZjUm https://t.co/TceqicpDT8","['InternationalWomensDay', 'mobile']"
48,vikingbunnies,"The Viking Bunnies set sail 2018! They'll be Pirate Pigs, Ninja Hamsters, bananas, snippy remarks, general insanity, and too much more! https://t.co/lQfWkwH5WH",The Great Sea,84,61,29020,1,2016-01-07 22:29:45,Meet Captain Fuzzy of The Viking Bunnies! Follow their crazy adventures @vikingbunnies and play their awesome #mobile #games! #indiecartoon #indiefilm #indie #flash #cartoon #animated #viking #bunny #bunnies #vikingbunnies https://t.co/CpJG6JEBus,"['mobile', 'games', 'indiecartoon', 'indiefilm', 'indie', 'flash', 'cartoon', 'animated', 'viking', 'bunny', 'bunnies', 'vikingbunnies']"
49,sendit_money,A mobile wallet for emerging markets that's affordable fast and secure.,London & Wales,114,459,372,0,2019-07-16 08:12:11,Strengthening Nigeria’s Fragile Economic Recovery. #Mobile #Africa https://t.co/xK8lw8txwc https://t.co/2MdPmis40f,"['Mobile', 'Africa']"
50,technoledgical,Technology | Phones/Tablet Review Specification| Computer/Laptop Review Specification| Gadgets Review Specification| Shop and More...,,0,5,47,0,2021-02-22 13:36:49,"iPhone 12 Mini Features &amp; Specs
https://t.co/3WPKvPejUi

#Apple #iPhone12 #Mobile #Samsung #Trending #mondaythoughts #InternationalWomensDay  #8Marzo2021 #WomensDay  #TechnologyNews #8M2021 #LoveIsland #BTSGrammyPerformers #choseToChallenge #IWD2021 #BTSARMY #IPL2021 #UFC259 #USA https://t.co/2Oi9VmqGLQ","['Apple', 'iPhone12', 'Mobile', 'Samsung', 'Trending', 'mondaythoughts', 'InternationalWomensDay', '8Marzo2021', 'WomensDay', 'TechnologyNews', '8M2021', 'LoveIsland', 'BTSGrammyPerformers', 'choseToChallenge', 'IWD2021', 'BTSARMY', 'IPL2021', 'UFC259', 'USA']"
51,warehouseoffers,"https://t.co/jKRgGRjvgK - best discount prices, great deals, super bargains, massive reduced offers, top brand manufactures, quality items at low prices.",London,87,480,42858,0,2012-06-11 09:11:24,"#Samsung Galaxy S21 5G Smartphone SIM Free Android #Mobile Phone Phantom Pink 128GB (UK Version)

More: https://t.co/tUAKH1U6Yn

#Microsoft #Rapid #SaverDeal #SuperSaverDeal https://t.co/nwJfU56Wkd","['Samsung', 'Mobile', 'Microsoft', 'Rapid', 'SaverDeal', 'SuperSaverDeal']"
52,Subzel_Store,Are you tired of regular shopping malls? Do you never find what you are looking for? We are here to introduce you to https://t.co/DMGzcFsmDN – our unique online,,0,0,190,0,2021-01-10 12:22:46,"Subzel Store It's absolutely bang-on! tracksuit Women summe https://t.co/Vnck4E8oSx
#Ring #Phone #Computer #Accessories #Car #Mobile https://t.co/xkTE9V8R3k","['Ring', 'Phone', 'Computer', 'Accessories', 'Car', 'Mobile']"
53,5stocksinto,https://t.co/2DGAgeKzSQ - #Author - Addicted to #BigData #IoT #AI #China #manufacturing #Stocks #Vietnam #Economics #startup #webdev #mobileapps #technology #automation,WorldWide,1273,1907,4879,39,2016-08-03 03:12:05,RT @5stocksinto: 5 Indian Stocks Into Telecommunications https://t.co/Vg1ueJEUGP #India #Telecom #Stocks #Investing #5G #Satellites #Aerosp…,"['India', 'Telecom', 'Stocks', 'Investing', '5G', 'Satellites']"
54,Fabriciosx,,Rio de janeiro,1952,108,294786,15,2013-01-01 02:32:07,"RT @DigitalMktngHub: What is a Sales Funnel, Examples and How to Create One

https://t.co/DNy8PtxeWt
#adtech #bigdata #datamining #app #app…","['adtech', 'bigdata', 'datamining', 'app']"
55,JsPadoan,"#TheMicrosoftGuy #MSFTAdvocate MCT
Top25 Influencers @Onalytica : #AI #RPA #Cybersec #Robotics
Author 📖 @EditionsENI
Author 🎞@Pluralsight
Architect @Capgemini",Earth (for now...),3050,1931,30426,15,2014-08-12 21:49:59,"RT @DigitalMktngHub: What is a Sales Funnel, Examples and How to Create One

https://t.co/DNy8PtxeWt
#adtech #bigdata #datamining #app #app…","['adtech', 'bigdata', 'datamining', 'app']"
56,yodelmobile,"The award-winning app growth consultancy. Yodel Mobile tweets all things app and mobile marketing, tech, industry insight and our very own blogs.",London,4072,1855,9381,1,2010-06-10 10:08:12,"RT @Iterable: #FinTechFriday with @yodelmobile:  Mobile apps are reshaping the financial sector.

Understand the changing financial ecosyst…",['FinTechFriday']
57,VanillaPlus,"The longest-standing title in the #Telco space 
News & expert views curated by VanillaPlus Editors
| Get the Top 10 #Telecoms #IT newsletter https://t.co/CtqINiUafi",,3642,1113,10753,0,2010-12-13 11:03:47,#uCloudlink 's GlocalMe is more than a #WiFi hotspot brand https://t.co/FdgtzsMqRE #mobile #data,"['uCloudlink', 'WiFi', 'mobile', 'data']"
58,GrahamANWright,"Group Managing Director @MicroSave - #research, #innovation, TA & #training for #financialinclusion & #digitalfinance institutions across Asia & Africa","Locked down, locked in ... ",3564,502,11245,1,2009-05-09 08:31:35,"RT @akay_in: Seems #RuPay, #visa and #MasterCard #cards are going to stay and co-exist with #Mobile  and #biometrics based payments in a #s…","['RuPay', 'visa', 'MasterCard', 'cards', 'Mobile', 'biometrics']"
59,Subzel_Store,Are you tired of regular shopping malls? Do you never find what you are looking for? We are here to introduce you to https://t.co/DMGzcFsmDN – our unique online,,0,0,190,0,2021-01-10 12:22:46,"Subzel Store Great, huh?  #Ring #Phone #Computer #Accessories #Car #Mobile   #bag #market #isolated https://t.co/Vnck4E8oSx https://t.co/pq50nKhscc","['Ring', 'Phone', 'Computer', 'Accessories', 'Car', 'Mobile', 'bag', 'market', 'isolated']"
60,DirectorsTalk,"DirectorsTalk are the most followed news portal in the UK for London Stock Exchange news, research & interviews with Directors of leading PLCs.",,55591,2337,189436,0,2010-12-23 17:25:58,"In 2021, small businesses need bigger ways to join the dots - https://t.co/7aJUUvMYvm - #ADT @AdEPTTechGroup #COMMS #IT #Broadband #Fibre #DataConnectivity #Mobile #BigData","['ADT', 'COMMS', 'IT', 'Broadband', 'Fibre', 'DataConnectivity', 'Mobile', 'BigData']"
61,SANNICKS23,UI/UX Designer,India,816,82,34,0,2010-04-16 19:53:34,"New App Design for Dining Experience

#uidesign #uxdesign #mobileapp #ui #ux #clean #new #mobile #modern #minimal https://t.co/1jmltBfFeS","['uidesign', 'uxdesign', 'mobileapp', 'ui', 'ux', 'clean', 'new', 'mobile', 'modern', 'minimal']"
